Price,Close,High,Low,Open,Volume,Returns
Ticker,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI,
Date,,,,,,
2015-11-05,7955.4501953125,8031.2001953125,7944.10009765625,8030.35009765625,132100,-0.01370301700500357
2015-11-06,7954.2998046875,8002.64990234375,7926.14990234375,7956.5498046875,219500,-0.00018798531519697016
2015-11-09,7915.2001953125,7937.75,7771.7001953125,7788.25,211800,-0.006390190643499072
2015-11-10,7783.35009765625,7885.10009765625,7772.85009765625,7877.60009765625,165200,-0.021655185304679227
2015-11-13,7762.25,7775.10009765625,7730.89990234375,7762.4501953125,160900,-0.003524205722338647
2015-11-16,7806.60009765625,7838.85009765625,7714.14990234375,7732.9501953125,149500,0.007427630771119853
2015-11-17,7837.5498046875,7860.4501953125,7793.0,7848.75,145000,0.005153923428549168
2015-11-18,7731.7998046875,7843.39990234375,7725.0498046875,7823.14990234375,143600,-0.017540558392085626
2015-11-19,7842.75,7854.89990234375,7765.4501953125,7788.5,132600,0.01865480968852893
2015-11-20,7856.5498046875,7906.9501953125,7817.7998046875,7841.89990234375,151900,0.0022874305688375565
2015-11-23,7849.25,7877.5,7825.2001953125,7869.5,127000,-0.0012078770363153414
2015-11-24,7831.60009765625,7870.35009765625,7812.64990234375,7837.0,130600,-0.002923193049893358
2015-11-26,7883.7998046875,7897.10009765625,7832.0,7837.14990234375,219800,0.008664847322954273
2015-11-27,7942.7001953125,7959.2998046875,7879.4501953125,7910.60009765625,150300,0.009712386122104967
2015-11-30,7935.25,7966.0,7922.7998046875,7936.25,216300,-0.001219390593637859
2015-12-01,7954.89990234375,7972.14990234375,7934.14990234375,7958.14990234375,138600,0.0032191642414384435
2015-12-02,7931.35009765625,7979.2998046875,7910.7998046875,7976.7001953125,126300,-0.003848539449846533
2015-12-03,7864.14990234375,7912.2998046875,7853.2998046875,7902.2998046875,125700,-0.011014550212840169
2015-12-04,7781.89990234375,7821.39990234375,7775.7001953125,7817.60009765625,152500,-0.013596510916982009
2015-12-07,7765.39990234375,7825.39990234375,7746.0498046875,7816.5498046875,137600,-0.002756396287433616
2015-12-08,7701.7001953125,7771.25,7685.4501953125,7738.5,135100,-0.010663922036472484
2015-12-09,7612.5,7702.85009765625,7606.89990234375,7695.5,140000,-0.015056448701655135
2015-12-10,7683.2998046875,7691.9501953125,7610.0,7643.2998046875,140800,0.012090607040230017
2015-12-11,7610.4501953125,7703.0498046875,7575.2998046875,7699.60009765625,167800,-0.012326018064493861
2015-12-14,7650.0498046875,7663.9501953125,7551.0498046875,7558.2001953125,148900,0.0067643162843649355
2015-12-15,7700.89990234375,7705.0,7625.10009765625,7659.14990234375,134300,0.008641136808366978
2015-12-16,7750.89990234375,7776.60009765625,7715.75,7725.25,154300,0.008440571988244817
2015-12-17,7844.35009765625,7852.89990234375,7737.5498046875,7783.0498046875,175900,0.015673696659340687
2015-12-18,7761.9501953125,7836.14990234375,7753.35009765625,7828.89990234375,191400,-0.01365567213514356
2015-12-21,7834.4501953125,7840.75,7733.4501953125,7745.64990234375,126300,0.01214256696170477
2015-12-22,7786.10009765625,7846.2998046875,7776.85009765625,7829.39990234375,125700,-0.008022914867814469
2015-12-23,7865.9501953125,7871.4501953125,7826.10009765625,7830.4501953125,117900,0.013332107942507965
2015-12-24,7861.0498046875,7888.75,7835.5,7888.75,93500,-0.0008098840768526405
2015-12-28,7925.14990234375,7937.2001953125,7863.0,7863.2001953125,122900,0.010600381504189826
2015-12-29,7928.9501953125,7942.14990234375,7902.75,7929.2001953125,113000,0.0006233801152347729
2015-12-30,7896.25,7944.75,7889.85009765625,7938.60009765625,106800,-0.005361397519104238
2015-12-31,7946.35009765625,7955.5498046875,7891.14990234375,7897.7998046875,150900,0.008248235168988384
2016-01-04,7791.2998046875,7937.5498046875,7781.10009765625,7924.5498046875,134700,-0.025365781570437673
2016-01-05,7784.64990234375,7831.2001953125,7763.25,7828.39990234375,145200,-0.0011095546652786226
2016-01-06,7741.0,7800.9501953125,7721.2001953125,7788.0498046875,147100,-0.007289328840567477
2016-01-07,7568.2998046875,7674.9501953125,7556.60009765625,7673.35009765625,188900,-0.029002745627987336
2016-01-08,7601.35009765625,7634.10009765625,7581.0498046875,7611.64990234375,157400,0.005677018877180906
2016-01-11,7563.85009765625,7605.10009765625,7494.35009765625,7527.4501953125,189000,-0.006413334391088066
2016-01-12,7510.2998046875,7588.2998046875,7487.7998046875,7587.2001953125,163900,-0.009203696524994032
2016-01-13,7562.39990234375,7590.9501953125,7425.7998046875,7557.89990234375,215200,0.009018298698389104
2016-01-14,7536.7998046875,7604.7998046875,7443.7998046875,7467.39990234375,200800,-0.004400736192595534
2016-01-15,7437.7998046875,7566.5,7427.2998046875,7561.64990234375,197500,-0.017076213158793874
2016-01-18,7351.0,7463.64990234375,7336.39990234375,7420.35009765625,233600,-0.015171119021331404
2016-01-19,7435.10009765625,7462.75,7364.14990234375,7381.7998046875,188300,0.014872823691079451
2016-01-20,7309.2998046875,7470.89990234375,7241.5,7357.0,225600,-0.021995720126340636
2016-01-21,7276.7998046875,7398.7001953125,7250.0,7376.64990234375,240700,-0.005780307434223042
